iter	Passed	Remaining
1304	99448	662606
1305	99521	662509
1306	99598	662441
1307	99675	662371
1308	99749	662280
1309	99824	662191
1310	99898	662101
1311	99985	662099
1312	100060	662015
1313	100135	661928
1314	100209	661840
1315	100286	661771
1316	100361	661687
1317	100436	661600
1318	100515	661543
1319	100589	661448
1320	100663	661360
1321	100737	661268
1322	100813	661192
1323	100898	661175
1324	100980	661133
1325	101061	661094
1326	101139	661027
1327	101220	660982
1328	101305	660964
1329	101383	660900
1330	101459	660823
1331	101535	660743
1332	101614	660684
1333	101692	660620
1334	101774	660582
1335	101853	660523
1336	101926	660428
1337	102009	660394
1338	102087	660326
1339	102160	660231
1340	102235	660146
1341	102310	660059
1342	102384	659973
1343	102458	659880
1344	102533	659796
1345	102607	659708
1346	102683	659630
1347	102760	659558
1348	102838	659494
1349	102912	659404
1350	102987	659318
1351	103063	659238
1352	103136	659146
1353	103213	659074
1354	103290	659001
1355	103367	658929
1356	103443	658849
1357	103516	658757
1358	103592	658674
1359	103678	658665
1360	103752	658571
1361	103826	658481
1362	103916	658494
1363	103991	658408
1364	104074	658377
1365	104152	658311
1366	104228	658232
1367	104302	658144
1368	104380	658075
1369	104454	657986
1370	104534	657936
1371	104610	657854
1372	104686	657776
1373	104764	657713
1374	104841	657639
1375	104915	657552
1376	104990	657467
1377	105076	657451
1378	105152	657374
1379	105226	657287
1380	105301	657199
1381	105376	657117
1382	105451	657033
1383	105527	656952
1384	105602	656868
1385	105678	656790
1386	105753	656707
1387	105827	656619
1388	105911	656589
1389	105985	656498
1390	106058	656404
1391	106136	656337
1392	106217	656291
1393	106293	656214
1394	106368	656130
1395	106442	656039
1396	106518	655959
1397	106595	655888
1398	106670	655807
1399	106749	655746
1400	106824	655663
1401	106897	655566
1402	106973	655488
1403	107048	655407
1404	107130	655366
1405	107206	655287
1406	107283	655214
1407	107359	655139
1408	107435	655056
1409	107512	654986
1410	107589	654916
1411	107670	654869
1412	107745	654787
1413	107824	654723
1414	107900	654649
1415	107980	654591
1416	108062	654549
1417	108148	654534
1418	108228	654481
1419	108304	654405
1420	108382	654335
1421	108458	654260
1422	108535	654187
1423	108611	654107
1424	108687	654032
1425	108764	653958
1426	108840	653880
1427	108917	653811
1428	108994	653739
1429	109074	653684
1430	109156	653644
1431	109235	653581
1432	109313	653518
1433	109391	653452
1434	109470	653388
1435	109546	653312
1436	109622	653232
1437	109699	653162
1438	109775	653084
1439	109851	653005
1440	109926	652923
1441	110004	652857
1442	110081	652786
1443	110159	652719
1444	110247	652708
1445	110323	652633
1446	110399	652555
1447	110481	652511
1448	110564	652475
1449	110641	652400
1450	110717	652324
1451	110796	652265
1452	110881	652237
1453	110959	652175
1454	111041	652133
1455	111121	652076
1456	111213	652091
1457	111290	652020
1458	111365	651937
1459	111443	651865
1460	111521	651800
1461	111599	651732
1462	111675	651655
1463	111752	651583
1464	111828	651504
1465	111905	651430
1466	111981	651353
1467	112058	651280
1468	112138	651227
1469	112222	651193
1470	112300	651126
1471	112378	651062
1472	112455	650988
1473	112534	650929
1474	112612	650863
1475	112690	650795
1476	112769	650735
1477	112845	650656
1478	112922	650580
1479	112999	650507
1480	113088	650505
1481	113163	650425
1482	113248	650395
1483	113325	650324
1484	113403	650255
1485	113481	650189
1486	113558	650118
1487	113638	650058
1488	113713	649975
1489	113790	649902
1490	113869	649842
1491	113946	649767
1492	114022	649694
1493	114099	649619
1494	114176	649545
1495	114267	649553
1496	114347	649495
1497	114424	649422
1498	114500	649343
1499	114576	649269
1500	114653	649192
1501	114731	649127
1502	114807	649050
1503	114883	648966
1504	114960	648894
1505	115035	648814
1506	115115	648759
1507	115194	648692
1508	115271	648621
1509	115355	648589
1510	115433	648521
1511	115511	648451
1512	115590	648390
1513	115667	648317
1514	115743	648239
1515	115830	648221
1516	115905	648140
1517	115984	648074
1518	116061	648004
1519	116139	647937
1520	116216	647864
1521	116305	647858
1522	116385	647798
1523	116462	647726
1524	116539	647654
1525	116615	647576
1526	116693	647509
1527	116770	647433
1528	116845	647349
1529	116921	647272
1530	116997	647193
1531	117075	647123
1532	117152	647049
1533	117229	646981
1534	117314	646947
1535	117413	646998
1536	117491	646931
1537	117569	646863
1538	117646	646787
1539	117722	646707
1540	117798	646627
1541	117872	646541
1542	117946	646453
1543	118020	646362
1544	118094	646273
1545	118169	646187
1546	118243	646095
1547	118316	646000
1548	118400	645966
1549	118477	645895
1550	118552	645809
1551	118626	645721
1552	118701	645635
1553	118779	645564
1554	118853	645480
1555	118928	645391
1556	119003	645309
1557	119081	645239
1558	119156	645157
1559	119232	645078
1560	119306	644987
1561	119390	644951
1562	119470	644893
1563	119545	644809
1564	119621	644731
1565	119695	644644
1566	119774	644578
1567	119850	644501
1568	119925	644420
1569	120003	644349
1570	120080	644275
1571	120153	644183
1572	120230	644109
1573	120303	644012
1574	120377	643923
1575	120457	643867
1576	120532	643783
1577	120609	643709
1578	120684	643624
1579	120760	643546
1580	120835	643461
1581	120910	643376
1582	120982	643278
1583	121058	643200
1584	121133	643115
